instruction,answer
写一首思乡诗,塞外无花少见春，故园回首泪盈巾。想应寂莫深闺里，灯下缝衣寄远人。
创作一首愁绪诗,洞口风生薜荔香，万松阴护佛龛凉。禅僧独对青山老，游子贪依慧日长。世故极知俱幻想，安心何用觅奇方。探幽笑我真成癖，一滴甘泉合试尝。
续写律诗，佐邑惭无术,敢言贫与清。风骚谁是主，烟月自关情。卷箔当山色，开窗就竹声。怜君惠嘉句，资我欲垂名。
续写绝句，江头从此管弦稀,散尽游人独未归。落日已将春色去，残花应逐夜风飞。
创作一首思乡诗，律诗,武丘东上雪初晴，载酒还过阊阖城。棹起日从云际豁，窗寒风向水边生。望中山作瑶林色，座上人传兔苑名。岁暮他乡临眺晚，几回系楫倍含情。
请仿写李白的诗,秋风吹胡霜，凋此檐下芳。折芳怨岁晚，离别悽以伤。谬攀青琐贤，延我于北堂。君为长沙客，我独之夜郎。劝此一杯酒，岂惟道路长。割珠两分赠，寸心贵不忘。何必儿女仁，相看泪成行。
续写律诗，谢公最小偏怜女,嫁与黔娄百事乖。顾我无衣搜画箧，泥他沽酒拔金钗。野蔬充膳甘长藿，落叶添薪仰古槐。今日俸钱过十万，与君营奠复营斋。
写一首闺怨诗，绝句,绿篝香袅烛花迟，倦眼朦胧酒醒时。心怯夜寒浑不寐，隔邻吹彻玉参差。
创作一首田园诗，律诗,霏霏轻露点征衣，正好春光胡不归。无奈閒愁添鹤发，且饶疏懒坐渔矶。青松绕郭含云湿，紫荔连坡喷雾飞。胜景都因忙负却，最迟今始脱尘机。
请仿写杜甫的诗,少保有古风，得之陕郊篇。惜哉功名忤，但见书画传。我游梓州东，遗迹涪江边。画藏青莲界，书入金榜悬。仰看垂露姿，不崩亦不骞。郁郁三大字，蛟龙岌相缠。又挥西方变，发地扶屋椽。惨澹壁飞动，到今色未填。此行叠壮观，郭薛俱才贤。不知百载后，谁复来通泉。
请仿写白居易的诗,昔是诗狂客，今为酒病夫。强饮翻怅望，纵醉不欢娱。鬓发三分白，交亲一半无。郢城君莫厌，犹校近京都。
请仿写白居易的诗,吟山歌水嘲风月，便是三年官满时。春为醉眠多闭閤，秋因晴望暂褰帷。更无一事移风俗，唯化州民解咏诗。
以金镊洗霜鬓为出句，续写绝句,银觥敌露桃。醉头扶不起，三丈日还高。
续写绝句，渔竿消日酒消愁,一醉忘情万事休。却恨韩彭兴汉室，功成不向五湖游。
写一首思乡诗,玉门斜日映搴旗，野堠凋阴盘马时。一夕乡心入羌笛，江边梅发对垂垂。
以思乡为主题，写一首诗,春来未听杜鹃啼，但见青山花满枝。俗礼不违聊上冢，他乡寒食叹年时。
以战争为主题，写一首律诗,燕颔将军万里游，溪山好处即迟留。颇闻南岳度残夏，宁忆北平防盛秋。君巳飞腾丹换骨，我方衰病雪蒙头。禅龛也有新勋业，百万魔军一战收。
续写律诗，早知内诏过先辈,蹭蹬江南百事疏。湓浦成中为上佐，炉峰寺后著幽居。偏依仙法多求药，长共僧游不读书。三省比来名望重，肯容君去乐樵渔。
以悼亡为主题，写一首律诗,清波双佩寂无踪，情爱悠悠怨恨重。残粉黄生银扑面，故衣香寄玉关胸。月明花向灯前落，春尽人从梦里逢。再托生来侬未老，好教相见梦姿容。
以恐惧为主题，写一首律诗,柳营吹角过良宵，雪袖还从席上飘。南省诗名论水部，北门勋业待嫖姚。惊心岁月频更烛，回首乡园一颂椒。策马挥戈怜此地，佩环曾奉紫宸朝。
创作一首思乡诗,鬓发萧萧昼不冠，他乡风物若为看。花庭晒药日将午，茅屋烹茶春尚寒。久别亲朋谁问病，深怜儿女自加餐。是非高枕浮云过，遥忆西河旧钓竿。
写一首闺怨诗,垂杨带雨烟沈沈，绮窗翠幕清昼阴。琵琶拨尽谁知音，一声望帝春事深。
续写律诗，洞庭舟始泊,桂江帆又开。魂从会处断，愁向笑中来。惝恍看残景，殷勤祝此杯。衡阳刷羽待，成取一行回。
续写律诗，天边月初落,马上梦犹残。关树苍苍晓，玉阶澹澹寒。宦游终自苦，身世静堪观。争似山中隐，和云枕碧湍。
以思乡为主题，写一首诗,两年旅邸过清明，佳节重逢倍怆情。麦饭遥怜诸弟荐，松醪独少一人倾。高堂白发贫中老，游子青春客里更。岳麓峰头云幂幂，不堪重听鹧鸪声。
以愁绪为主题，写一首律诗,自古谁无死，悲君在客边。一灵归故国，万恨掩穷泉。永罢春明试，空留宝剑篇。伤心帝京友，犹盼孝廉船。
以哀伤为主题，写一首绝句,故园独此念残春，无奈忧危此一身。莫怪片言千百死，从来蹇蹇属王臣。
创作一首思乡诗，律诗,共把愁眉且放开，喜看春腊再相推。城边煦景新堤柳，墙外香风带野梅。世运从今转熙皞，圣恩不久自天来。故园咫尺佳山在，一日定游三百回。
请仿写刘禹锡的诗,八月涛声吼地来，头高数丈触山回。须臾却入海门去，卷起沙堆似雪堆。
以园锁开声骇鹿群为出句，续写律诗,满林鲜箨水犀文。森森竞泫林梢雨，��争穿石上云。并出亦如鹅管合，各生还似犬牙分。折烟束露如相遗，何胤明朝不茹荤。
请仿写白居易的诗,文殊菩萨，出化清凉，神通力以现他方。真座金毛师子，微放珠光。众生仰持宝盖，绝名香。我今发愿，虔诚归命，不求富贵，不恋荣华。愿当来世，生净土，法王家。愿当来世，生净土，法王家。
续写律诗，别后闻餐饵,相逢讶道情。肌肤红色透，髭发黑光生。仙洞谁传与，松房自鍊成。常蒙远分惠，亦觉骨毛轻。
写一首思乡诗，律诗,露寒犹着旧缁衣，无限秋心对夕晖。绿酒几家能醉客，青山何处不思归。鹰迎风势空中立，叶避霜威暗里飞。一触物情生浩叹，故园零落故人稀。
创作一首愁绪诗,游子久行役，松楸空系情。几经秋草合，长见白云生。水映遥空淡，烟迷暮垄平。鹤归华表夜，沧海月虚明。
写一首思乡诗，律诗,节序逢青女，他乡未授衣。颜容愁里改，形影梦中归。此日徒餐菊，何山可采薇。却怜同病者，迢递暮云飞。
以老须为老计为出句，续写律诗,老计在抽簪。山下初投足，人间久息心。乱藤遮石壁，绝涧护云林。若要深藏处，无如此处深。
以思乡为主题，写一首绝句,愁摧断柳柳还稀，泪洒残花花更飞。一寸未忘游子线，万年难觅老莱衣。
请仿写李白的诗,卢橘为秦树，蒲萄出汉宫。烟花宜落日，丝管醉春风。笛奏龙鸣水，箫吟凤下空。君王多乐事，何必向回中。
写一首哀伤诗，律诗,浪迹成何事，归心日夜增。年光催爆竹，春色入孤灯。世态秪如此，他乡未可凭。明朝人献岁，南望意飞腾。
创作一首怀人诗,毗陵笑语忆先游，烟月吴门几换秋。童稚趋庭今白发，风尘寄迹久沧洲。仲长乐志谁能那，方朔藏身岂自由。苦恨相思不相见，何时鸣鸟慰声求。
请仿写刘禹锡的诗,日映西陵松柏枝，下台相顾一相思。朝来乐府长歌曲，唱著君王自作词。
请仿写李白的诗,王公希代宝，弃世一何早。吊死不及哀，殡宫已秋草。悲来欲脱剑，挂向何枝好。哭向茅山虽未摧，一生泪尽丹阳道。
创作一首怀人诗，律诗,望里烟生是子家，草堂应近脊令沙。江汀每恨无舟渡，野墅空怜有酒赊。半雨暮城风外雪，孤梅春动腊中花。相思尚隔前村远，独倚柴门数去鸦。
请仿写李白的诗,欲别心不忍，临行情更亲。酒倾无限月，客醉几重春。藉草依流水，攀花赠远人。送君从此去，回首泣迷津。
续写绝句，黄精蒸罢洗琼杯,林下从留石上苔。昨日围棋未终局，多乘白鹤下山来。
写一首战争诗,烽火照祁连，三军复驻边。寒笳悲汉月，塞草接胡烟。按甲秋□□，□□□□□。□□应献捷，刻石继燕然。
续写律诗，雁塔搀空映九衢,每看华宇每踟蹰。题名尽是台衡迹，满壁堪为宰辅图。鸾凤岂巢荆棘树，虬龙多蛰帝王都。谁知远客思归梦，夜夜无船自过湖。
写一首思乡诗，律诗,山阳遗韵在，林端横吹惊。响迥凭高阁，曲怨绕秋城。淅沥危叶振，萧瑟凉气生。始遇兹管赏，已怀故园情。
以山水为主题，写一首诗,节物感羁旅，连空生塞阴。乱鸿寒渚远，群雀晚丛深。霜重泾滩出，烟高陇树沉。岁华徒自老，幽愤满登临。
续写律诗，拣得琅玕截作筒,缄题章句写心胸。随风每喜飞如鸟，渡水常忧化作龙。粉节坚如太守信，霜筠冷称大夫容。烦君赞咏心知愧，鱼目骊珠同一封。
以高阁逼诸天为出句，续写律诗,登临近日边。晴开万井树，愁看五陵烟。槛外低秦岭，窗中小渭川。蚤知清净理，常愿奉金仙。
写一首怀人诗，律诗,不得天涯信，相思对景浓。惊飙吹落叶，残日在遥峰。照水鱼村火，沈烟野寺钟。幽怀向谁说，静立自支筇。
以思乡为主题，写一首诗,不修仁德合文明，天道如何拟力争。隔岸故乡归不得，十年空负拔山名。
请仿写白居易的诗,老何殁后吟声绝，虽有郎官不爱诗。无复篇章传道路，空流风月在曹司。长嗟博士官犹屈，亦恐骚人道渐衰。今日闻君除水部，喜于身得省郎时。
以野茶无限春风叶为出句，续写绝句,溪水千重返照波。只去长桥三十里，谁人一解枉帆过。
以愁绪为主题，写一首诗,晨兴即长路，曙色喜初分。白土家家店，青山处处坟。虎踪当路见，鸡唱隔林闻。游子心中事，悠然岭上云。
写一首哀伤诗,归鹤悠悠度海迟，閒来野寺看僧棋。乡心荔子薰风国，客路槐花细雨时。天地一身愁自语，江湖诸老澹相知。乌丝醉后淋漓墨，片月娟娟照砚池。
续写律诗，性情懒慢好相亲,门巷萧条称作邻。背烛共怜深夜月，蹋花同惜少年春。杏坛住僻虽宜病，芸阁官微不救贫。文行如君尚憔悴，不知霄汉待何人。
请仿写李白的诗,悲来乎，悲来乎！主人有酒且莫斟，听我一曲悲来吟。悲来不吟还不笑，天下无人知我心。君有数斗酒，我有三尺琴。琴鸣酒乐两相得，一杯不啻千钧金。悲来乎，悲来乎！天虽长，地虽久，金玉满堂应不守。富贵百年能几何？死生一度人皆有。孤猿坐啼坟上月，且须一尽杯中酒。悲来乎，悲来乎！凤鸟不至河无图，微子去之箕子奴。汉帝不忆李将军，楚王放却屈大夫。悲来乎，悲来乎！秦家李斯早追悔，虚名拨向身之外。范子何曾爱五湖，功成名遂身自退。剑是一夫用，书能知姓名。惠施不肯干万乘，卜式未必穷一经。还须黑头取方伯，莫谩白首为儒生。
以战争为主题，写一首诗,年来氛祲未全消，暮角边声入夜遥。逐虏有人逾北海，寄衣谁梦到西辽？尘迷汉月愁飞挽，云暗胡天失射雕。闻道前军犹未入，不知何日起嫖姚？
请仿写李商隐的诗,酥胸酣暖日，玉脸笑春风。
以闇淡绯衫称老身为出句，续写律诗,半披半曳出朱门。袖中吴郡新诗本，襟上杭州旧酒痕。残色过梅看向尽，故香因洗嗅犹存。曾经烂熳三年著，欲弃空箱似少恩。
请仿写李白的诗,洞庭白波木叶稀，燕鸿始入吴云飞。吴云寒，燕鸿苦，风号沙宿潇湘浦。节士悲秋泪如雨，白日当天心。照之可以事明主，壮士愤，雄风生。安得倚天剑，跨海斩长鲸。
创作一首愁绪诗,山河今脱屐，风雨易思乡。慰以诸君乐，怜吾末路狂。台空双桂老，天阔一鹰翔。江泛渔矶在，吾将问野航。
续写绝句，野人于我有何情,半掩柴门向月明。深夜欲眠眠未著，一丛寒木一猿声。
以恐惧为主题，写一首诗,寿尽天年命不通，钓溪吟月便成翁。虽云挂剑来坟上，亦恐藏书在壁中。巢父精灵归大夜，客儿才调振遗风。南华至理须齐物，生死即应无异同。
创作一首愁绪诗,念公事业未能归，莫厌京尘化客衣。游子固闻怀楚玉，垂堂应每倚荆扉。仲舒正尔宜投策，丘嫂从渠不下机。他日秋风雕鹗便，雍容车骑更光晖。
续写律诗，花时曾省杜陵游,闻下书帷不举头。因过石城先访戴，欲朝金阙暂依刘。征帆夜转鸬鹚穴，骋骑春辞鹳雀楼。正把新诗望南浦，棹歌应是木兰舟。
请仿写白居易的诗,北客劳相访，东楼为一开。褰帘待月出，把火看潮来。艳听竹枝曲，香传莲子杯。寒天殊未晓，归骑却迟回。
请仿写李商隐的诗,非关宋玉有微辞，却是襄王梦觉迟。一自高唐赋成后，楚天云雨尽堪疑。
续写绝句，缧绁戎庭恨有馀,蚕知君意复何如？一介耻无苏子节，数回羞寄李陵书。
以哀伤为主题，写一首绝句,张侯邀我入城去，西苑水风终日凉。却笑人间李公子，出门十步似他乡。
写一首田园诗,一别龙峰五十年，堪嗟尘世事茫然。门前旧日长松树，恨杀春风啼杜鹃。
请仿写杜甫的诗,郊扉俗远长幽寂，野水春来更接连。锦席淹留还出浦，葛巾欹侧未回船。尊当霞绮轻初散，棹拂荷珠碎却圆。不但习池归酩酊，君看郑谷去夤缘。
以思乡为主题，写一首诗,太行本无险，黄河谅非深。堂堂大丈夫，耻为游子吟。俯仰宇宙间，宁无圣贤心。何当五弦奏，南风听遗音。
创作一首思乡诗,博士承恩领故乡，自应徽国庆源长。黉宫百世诗书富，阙里三时俎豆香。社下廪人来继粟，门前童子候升堂。知君不负维桑托，霄汉巍巍见紫阳。
以年逾知命志尤坚为出句，续写绝句,独向青山更绝编。天下有山山有水，养蒙肥遁正翛然。
请仿写李商隐的诗,中路因循我所长，古来才命两相妨。劝君莫强安蛇足，一盏芳醪不得尝。
请仿写刘禹锡的诗,紫陌夜来雨，南山朝下看。戟枝迎日动，阁影助松寒。瑞气转绡縠，游光泛波澜。御沟新柳色，处处拂归鞍。
以野店东头花落处为出句，续写绝句,一条流水号罗敷。芳魂艳骨知何处，春草茫茫墓亦无。
创作一首失意诗,偶寻荒寺拥孤衾，难得良朋话夜深。凿牖引山归冷榻，开帘延月出疏林。寒花渐改高秋色，流水长怀太古音。惆怅旧游成寂寞，影堂空挂薜萝阴。
续写绝句，饮徒歌伴今何在,雨散云飞尽不回。从此香山风月夜，祗应长是一身来。
以孤独为主题，写一首律诗,山椒丽飞殿，遥望际天涯。不见龙镳客，空看洞口花。衰颜怜日月，大劫小河沙。日暮征车歇，衔杯羽士家。
写一首思乡#田园诗，律诗,故园三径可婆娑，遇兴遵涂负杖歌。霜重天寒山色淡，草枯野旷猎徒多。解刀尚可谋黄犊，挥帖无由致白鹅。自计长闲何所恨，一生心事在烟波。
创作一首思乡诗，律诗,江汉归来重访寻，貂裘未弊亦尘侵。碧眸憎俗重扃户，白羽扇凉一援琴。池草易生苕水梦，莼羹难老故乡心。有书若问东阳瘦，记遣神林问惠琳。
请仿写白居易的诗,岁暮纷多思，天涯渺未归。老添新甲子，病减旧容辉。乡国仍留念，功名已息机。明朝四十九，应转悟前非。
写一首战争诗,故国传烽火，归来吊战场。三秋看太白，万骑塞陈仓。射虎身犹健，闻鸡意不忘。悲歌燕赵别，风雨又重阳。
以怀人为主题，写一首诗,故人昔别能相忆，远寄新城水墨图。木叶尽含春雨润，石根犹带晚云孤。啼猿远过盘陀岭，归雁忽沉彭蠡湖。已办鹅溪玉色绢，南归问子写蓬壶。
请仿写白居易的诗,旧游分散人零落，如此伤心事几条。会逐禅师坐禅去，一时灭尽定中消。
创作一首思乡诗，律诗,棠梨未落柳丝长，料望幽人作断肠。已自不堪田父饮，更能重入少年场。山连莽莽荒陂白，门掩萧萧野日黄。想得故园疏雨外，樽前催拍杜韦娘。
请仿写岑参的诗,此地曾居住，今来宛似归。可怜汾上柳，相见也依依。
续写律诗，芿草不停兽,因师山更灵。村林朝乞食，风雨夜开扃。井味兼松粉，云根着净瓶。尘劳如醉梦，对此暂能醒。
续写律诗，初归故乡陌,极望且徐轮。近野樵蒸至，平泉烟火新。农夫馈鸡黍，渔子荐霜鳞。惆怅怀杨仆，惭为关外人。
以自守空楼敛恨眉为出句，续写绝句,形同春后牡丹枝。舍人不会人深意，讶道泉台不去随。
以至公无暇日为出句，续写律诗,高阁闭秋天。肘印拘王事，篱花思长年。绩成心不有，虑澹物犹牵。窃效泉鱼跃，因闻郢曲妍。
写一首田园诗,十亩五亩园，三株五株树。荷锄日暮归，犬吠门前路。
请仿写李商隐的诗,荒村倚废营，投宿旅魂惊。断雁高仍急，寒溪晓更清。昔年尝聚盗，此日颇分兵。猜贰谁先致，三朝事始平。
请仿写白居易的诗,小娃撑小艇，偷采白莲回。不解藏踪迹，浮萍一道开。
以步辇千门出为出句，续写律诗,离宫二月开。风光新柳报，宴赏落花催。碧水摇空阁，青山绕吹台。圣情留晚兴，歌管送馀杯。
创作一首孤独诗，绝句,画省从容吏散迟，水天閒话寄相思。孤舟来往娄东道，鸣鸟疏钟忆旧时。
续写绝句，紫河车里丹成也,皂荚枝头早晚飞。料得仙宫列仙籍，如君进士出身稀。
请仿写杜牧的诗,贱子本幽慵，多为隽贤侮。得州荒僻中，更值连江雨。一褐拥秋寒，小窗侵竹坞。浊醪气色严，皤腹瓶罂古。酣酣天地宽，恍恍嵇刘伍。但为适性情，岂是藏鳞羽。一世一万朝，朝朝醉中去。
请仿写白居易的诗,以道治心气，终岁得晏然。何乃戚戚意，忽来风雨天。既非慕荣显，又不恤饥寒。胡为悄不乐，抱膝残灯前。形影闇相问，心默对以言。骨肉能几人，各在天一端。吾兄寄宿州，吾弟客东川。南北五千里，吾身在中间。欲去病未能，欲住心不安。有如波上舟，此缚而彼牵。自我向道来，于今六七年。鍊成不二性，消尽千万缘。唯有恩爱火，往往犹熬煎。岂是药无效，病多难尽蠲。
写一首愁绪诗，绝句,翩翩游子涉江湘，似为兵家说短长。莫怪樽前留一顾，知音原自有周郎。
续写绝句，少年为理但公清,鸿渐行中是去程。莫恨长江为短簿，可能胜得贾先生？
以秖言双鬓未蹉跎为出句，续写绝句,独奈牛羊送日何。禅客不归车马去，晚檐山色为谁多。
创作一首哀伤诗，律诗,故人千里梦悠悠，落叶寒砧两处秋。旧里江山空寂寞，旅途风雪莫淹留。鸡声枕上收残月，海气窗前动远舟。闻道邻人解吹笛，山阳哀调不胜愁。
创作一首失意诗，律诗,故人孙宰忆同游，跃马分麾驻上头。塞外旌旗非旧日，山中钟磬自清秋。云松暝合侵崖径，霜叶寒飞扑涧流。满眼风尘愁更住，为君惆怅独登楼。
写一首悼亡诗，律诗,三年剪拂感知音，哭向青山永夜心。竹在晓烟孤凤去，剑荒秋水一龙沈。新坟日落松声小，旧色春残草色深。不及此时亲执绋，石门遥想泪沾襟。
以雁池衰草露沾衣为出句，续写绝句,河水东流万事微。寂寞青陵台上月，秋风满树鹊南飞。
创作一首战争诗，绝句,渭城凄咽不堪听，曾送征人万里行。今日玉关长不闭，谁将旧曲变新声。
续写律诗，高槛危檐势若飞,孤云野水共依依。青山万古长如旧，黄鹤何年去不归。岸映西山城半出，烟生南浦树将微。定知羽客无因见，空使含情对落晖。
请仿写杜甫的诗,峡中丈夫绝轻死，少在公门多在水。富豪有钱驾大舸，贫穷取给行艓子。小儿学问止论语，大儿结束随商旅。攲帆侧柁入波涛，撇漩捎濆无险阻。朝发白帝暮江陵，顷来目击幸有徵。瞿堂漫天虎须怒，归州长年行最能。此乡之人气量窄，误竞南风疏北客。若道土无英俊才，何得山有屈原宅。
以愁绪为主题，写一首律诗,略彴东边一径深，杖藜行饭当登临。稷山并海出遥碧，禹穴生云成暮阴。残岁自兴游子感，少年谁解老人心。归来灯火参差夜，倦倚胡床续短吟。
创作一首哀伤诗，律诗,龙城薄宦已三霜，几度瞻云忆故乡。十里畹兰幽可佩，一朝风木恨偏长。难逢鹤驭归华表，未得鸾书下建章。独客徘徊伤远道，尚怀倾盖赋山阳。
请仿写李贺的诗,野水泛长澜，宫牙开小茜。无人柳自春，草渚鸳鸯暖。晴嘶卧沙马，老去悲啼展。今春还不归，塞嘤折翅雁。
以观象楼前奉末班为出句，续写绝句,绛峰只似殿庭间。今日高楼重陪宴，雨笼衡岳是南山。
创作一首思乡诗，律诗,尘事如毛日日生，故园久拟问归程。飞鹏怒薄扶摇上，病骥饥寻巀嵲行。绿野尽头迷汉水，白云深处是樊城。私怀借问何其似，祇看摇摇车上旌。
写一首怀人诗，律诗,几夜思君处，明星灿玉河。屠龙惭落魄，醉袂忆婆娑。将略推无二，天才信不多。晓来看出处，珍重野人蓑。
请仿写白居易的诗,烛下尊前一分手，舟中岸上两回头。归来虚白堂中梦，合眼先应到越州。
请仿写王维的诗,汎舟入荥泽，兹邑乃雄藩。河曲闾阎隘，川中烟火繁。因人见风俗，入境闻方言。秋野田畴盛，朝光市井喧。渔商波上客，鸡犬岸旁村。前路白云外，孤帆安可论。
续写律诗，无我复无人,作么有疏亲。劝师休历坐，不是直求真。金刚般若性，外绝一纤尘。我闻并信受，总是假名陈。
请仿写杜牧的诗,锦缆龙舟隋炀帝，平台复道汉梁王。游人闲起前朝念，折柳孤吟断杀肠。
续写律诗，玉醴浮金菊,云亭敞玳筵。晴山低画浦，斜雁远书天。谢朓离都日，殷公出守年。不知瑶水宴，谁和白云篇。
续写绝句，谁开黄帝桥山冢,明月飞光出九泉。狼藉藓痕磨不尽，黑云残点污秋天。
以思乡为主题，写一首诗,偶得一日假，心安良有馀。簟凉便晏起，发短罢晨梳。露角连城动，风蝉带树疏。故乡频水旱，翻怕得家书。
创作一首流泪诗,诗书承善庆，簪组沐恩荣。赋命分修短，详刑服重轻。平生师友义，终古别离情。尽掬寒淞水，难前泪眼清。
续写律诗，昨迎今复送,来晚去逡巡。芳尽空繁树，愁多独病身。静思倾酒懒，闲望上楼频。为向春风道，明年早报春。
请仿写李商隐的诗,凄凉宝剑篇，羁泊欲穷年。黄叶仍风雨，青楼自管弦。新知遭薄俗，旧好隔良缘。心断新丰酒，销愁斗几千。
以悼亡为主题，写一首律诗,去岁冲寒赴辟时，感君骑马远追随。一春不得梅花信，万里空题薤露诗。小简佩壶邀士友，大铛煮粥活流移。平生二事尤堪记，应有名公与撰碑。
续写律诗，制锦蜀江静,飞凫汉阙遥。一兹风靡草，再视露盈条。旅望多愁思，秋天更泬寥。河阳传丽藻，清韵入歌谣。
以哀伤为主题，写一首律诗,赤铸山头鸟不飞，上皇曾此易青衣。无多侍从争投甲，有限生灵但掩扉。五国城西边月苦，景阳楼下夜钟微。心伤莫唱淋铃曲，未得生从蜀道归。
以居与鸟巢邻为出句，续写律诗,日将巢鸟亲。多生从此性，久集得无身。树老风终夜，山寒雪见春。不知诸祖后，传印是何人。
续写绝句，燕市人皆去,函关马不归。若逢山下鬼，环上系罗衣。
以濛濛膏雨远空迷为出句，续写律诗,点滴圆纹水绕堤。柳带喜如和醉舞，花房愁似宿妆啼。烟笼麦陇连天阔，云映渔舟掠岸低。廉使解分天子念，一篇骚雅慰蒸黎。
续写律诗，客子庖厨薄,江楼枕席清。衰年病祗瘦，长夏想为情。滑忆彫胡饭，香闻锦带羹。溜匙兼暖腹，谁欲致杯罂。
创作一首思乡诗，律诗,飘萧竹树动乡心，却是西川雨酿霖。水绕巴江流渐长，云来巫峡气常阴。不妨柏溜参天下，复爱棠栖隐地深。欲为吾民歌帝力，阳春白雪有馀音。
以思乡#怀人为主题，写一首律诗,秋月信凄清，秋容在晚晴。客中荒市酒，愁里故园情。浦上枫林薄，淮南桂影生。相思渺天末，对酒忆寒檠。
以天涯地角知何处为出句，续写绝句,玉体红颜难再遇。但令翅羽为人生，会些高飞共君去。
